inst,type,opcode,funct3,funct7
add,R,0110011,000,0000000
sub,R,0110011,000,0100000
xor,R,0110011,100,0000000
or,R,0110011,110,0000000
and,R,0110011,111,0000000
sll,R,0110011,001,0000000
srl,R,0110011,101,0000000
sra,R,0110011,101,0100000
slt,R,0110011,010,0000000
sltu,R,0110011,011,0000000
addi,I,0010011,000,None
xori,I,0010011,100,None
ori,I,0010011,110,None
andi,I,0010011,111,None
slli,I,0010011,001,0000000
srli,I,0010011,101,0000000
srai,I,0010011,101,0100000
slti,I,0010011,010,None
sltiu,I,0010011,011,None
lb,I,0000011,000,None
lh,I,0000011,001,None
lw,I,0000011,010,None
lbu,I,0000011,100,None
lhu,I,0000011,101,None
sb,S,0100011,000,None
sh,S,0100011,001,None
sw,S,0100011,010,None
beq,B,1100011,000,None
bne,B,1100011,001,None
blt,B,1100011,100,None
bge,B,1100011,101,None
bltu,B,1100011,110,None
bgeu,B,1100011,111,None
jal,J,1101111,None,None
jalr,I,1100111,000,None
lui,U,0110111,None,None
auipc,U,0010111,None,None
ebreak,I,1110011,000,0000000
ecall,I,1110011,000,0000000
mul,R,0110011,000,0000001
mulh,R,0110011,001,0000001
mulsu,R,0110011,010,0000001
mulu,R,0110011,011,0000001
div,R,0110011,100,0000001
divu,R,0110011,101,0000001
rem,R,0110011,110,0000001
remu,R,0110011,111,0000001